rank,Np,mean,mean_permsg,var,s2,N,dev,s
0,1,0.355689,0.000036,234.775294,234.798774,10000,15.322379,15.323145
1,2,2.198853,0.000110,0.124406,0.124412,20000,0.352712,0.352721
1,3,4.230883,0.000141,1583.049086,1583.101856,30000,39.787549,39.788213
3,4,5.933539,0.000148,2125.704168,2125.757312,40000,46.105359,46.105936
2,5,6.944002,0.000139,1019.734365,1019.754761,50000,31.933280,31.933599
2,6,8.559887,0.000143,2028.464306,2028.498115,60000,45.038476,45.038851
0,7,9.729396,0.000139,1710.843748,1710.868189,70000,41.362347,41.362642
2,8,11.362066,0.000142,2669.590712,2669.624082,80000,51.668082,51.668405
0,9,12.686754,0.000141,2789.229594,2789.260586,90000,52.813157,52.813451
1,10,13.998648,0.000140,2257.578956,2257.601532,100000,47.513987,47.514225
3,11,15.465994,0.000141,3032.432362,3032.459930,110000,55.067525,55.067776
3,12,16.957644,0.000141,3015.725409,3015.750540,120000,54.915621,54.915850
2,13,18.231546,0.000140,3109.911940,3109.935862,130000,55.766584,55.766799
3,14,19.647501,0.000140,3308.205035,3308.228665,140000,57.516998,57.517203
3,15,20.956362,0.000140,3424.841054,3424.863886,150000,58.522142,58.522337
6,16,22.383999,0.000140,1864.965487,1864.977143,160000,43.185246,43.185381
1,17,23.792702,0.000140,3130.866311,3130.884728,170000,55.954145,55.954309
3,18,25.295380,0.000141,2227.542840,2227.555215,180000,47.196852,47.196983
3,19,26.690451,0.000140,3645.355736,3645.374923,190000,60.376781,60.376940
4,20,28.409286,0.000142,3688.620544,3688.638987,200000,60.734015,60.734167
3,21,29.465349,0.000140,2340.701204,2340.712350,210000,48.380794,48.380909
3,22,31.241510,0.000142,4124.554755,4124.573503,220000,64.222697,64.222843
2,23,32.360576,0.000141,2442.793077,2442.803698,230000,49.424620,49.424728
3,24,34.358902,0.000143,3988.354959,3988.371578,240000,63.153424,63.153556
