"","X.bytes","repetitions","t","mbs","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,20.74,0,12.9450125104254,0,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"2",1,1000,11.5,0.09,12.9454236647243,0.0772473752809616,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"3",2,1000,11.58,0.17,12.9458348190233,0.154489843873266,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"4",4,1000,11.64,0.34,12.9466571276212,0.308960062861799,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"5",8,1000,11.79,0.68,12.948301744817,0.617841641140489,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"6",16,1000,11.79,1.36,12.9515909792087,1.23536946354197,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"7",32,1000,11.51,2.78,12.958169447992,2.4694846080253,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"8",64,1000,11.63,5.5,12.9713263855586,4.93395957342135,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"9",128,1000,11.57,11.06,12.9976402606919,9.84794142880717,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"10",256,1000,11.44,22.37,13.0502680109585,19.6164553697313,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"11",512,1000,11.79,43.42,13.1555235114916,38.9190137171475,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"12",1024,1000,12.19,83.98,13.3660345125579,76.6121020440214,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"13",2048,1000,21.38,95.81,13.7870565146905,148.545122580574,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"14",4096,1000,21.49,190.63,14.6291005189557,279.989873245631,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"15",8192,1000,33.7,243.11,16.313188527486,502.170374982018,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"16",16384,1000,37.19,440.55,19.6813645445466,832.462605065649,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"17",32768,1000,83.56,392.17,26.4177165786679,1240.37972405457,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"18",65536,640,124.16,527.82,39.8904206469105,1642.90069989713,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"19",131072,320,144.5,907.1,66.8358287833957,1961.1038328676,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"20",262144,160,219.19,1195.97,120.726645056366,2171.38478318194,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"21",524288,80,303.47,1727.64,228.508277602307,2294.39390774484,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"22",1048576,40,549.38,1908.64,444.071542694188,2361.27717988475,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"23",2097152,20,1000.51,2096.09,875.19807287795,2396.20271683626,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"24",4194304,10,1750.53,2396.02,1737.45113324548,2414.05580838711,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"25",8388608,5,3400.65,2466.77,3461.95725398052,2423.0824890616,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"26",16777216,2,7073.6,2371.81,6910.96949545062,2427.62119136022,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"27",33554432,1,13993.29,2397.89,13808.9939783908,2429.89692460639,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"28",67108864,1,28210.27,2378.88,27605.0429442712,2431.03639199108,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"29",134217728,1,53183.54,2523.67,55197.140876032,2431.60652653081,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
"30",268435456,1,111243.74,2413.04,110381.336739554,2431.89169409479,12.9450125104254,0.0105586584344856,2432.17692855287,1.83693656879777e-06
