"","X.bytes","repetitions","t","mbs","err_speed","err_lat","t_est","b_est","l_fit","l_std","b_fit","b_std"
"1",0,1000,7.846,0,0,0.17,7.87755379482903,0,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"2",1,1000,7.898,0.129,0.005,0.13,7.87785998734669,0.126938026520678,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"3",2,1000,7.897,0.252,0.005,0.15,7.87816617986435,0.253866185903994,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"4",4,1000,7.904,0.505,0.01,0.145,7.87877856489968,0.507692907860133,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"5",8,1000,7.893,1.013,0.015,0.135,7.88000333497033,1.01522799673157,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"6",16,1000,7.898,2.026,0.035,0.145,7.88245287511163,2.02982501177001,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"7",32,1000,7.918,4.042,0.075,0.15,7.88735195539423,4.05712844830196,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"8",64,1000,7.917,8.084,0.14,0.135,7.89715011595943,8.10418936708089,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"9",128,1000,8.3,15.424,0.33,0.18,7.91674643708983,16.1682581369945,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"10",256,1000,8.342,30.694,0.705,0.19,7.95593907935063,32.1772197407141,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"11",512,1000,8.401,60.942,1.175,0.165,8.03432436387224,63.7265782176158,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"12",1024,1000,9.439,108.51,2.84,0.245,8.19109493291545,125.013811753678,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"13",2048,1000,8.947,228.922,4.465,0.175,8.50463607100187,240.809833942576,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"14",4096,1000,10.737,381.512,10.095,0.28,9.13171834717471,448.546466752041,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"15",8192,1000,11.474,714.023,10.31,0.165,10.3858828995204,788.762985222788,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"16",16384,1000,15.413,1063.053,18.1,0.26,12.8942120042117,1270.64763590426,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"17",32768,1000,25.501,1285.126,22.59,0.445,17.9108702135945,1829.50351430322,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"18",65536,640,56.148,1167.33,18.4,0.88,27.9441866323599,2345.24628904776,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"19",131072,320,79.354,1651.922,26.435,1.27,48.0108194698908,2730.05129775383,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"20",262144,160,121.355,2160.301,25.5,1.425,88.1440851449525,2974.03960309878,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"21",524288,80,194.581,2694.575,26.79,1.93,168.410616495076,3113.15290515149,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"22",1048576,40,326.506,3211.625,33.645,3.395,328.943679195323,3187.70679091653,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"23",2097152,20,620.633,3379.117,19.8,3.635,650.009804595817,3226.33902623058,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"24",4194304,10,1206.418,3476.749,24.965,8.655,1292.14205539681,3246.00842645894,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"25",8388608,5,2421.954,3463.667,29.44,20.56,2576.40655699878,3255.93333754428,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"26",16777216,2,5186.514,3234.851,26.75,42.93,5144.93556020273,3260.91858754765,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"27",33554432,1,10684.919,3140.542,38.11,129.165,10281.9935666106,3263.4169417265,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"28",67108864,1,20376.991,3294.107,69.545,436.615,20556.1095794264,3264.66755495241,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"29",134217728,1,40947.998,3278.818,78.785,997.53,41104.3416050581,3265.29322108115,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
"30",268435456,1,82282.092,3263.597,85.35,2162.59,82200.8056563213,3265.60614408476,7.87755379482903,0.0105586584344856,3265.91912707084,4.09818058892684e-07
