#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,1.306,0.0,0.0,0.05
1,1000.0,1.307,0.765,0.025,0.045
2,1000.0,1.314,1.524,0.05,0.045
4,1000.0,1.313,3.051,0.115,0.045
8,1000.0,1.303,6.145,0.23,0.045
16,1000.0,1.306,12.264,0.485,0.055
32,1000.0,1.327,24.126,0.945,0.055
64,1000.0,1.478,43.439,2.465,0.09
128,1000.0,1.522,84.263,4.49,0.085
256,1000.0,1.95,137.706,39.34,0.95
512,1000.0,1.843,278.412,16.485,0.115
1024,1000.0,2.017,509.084,30.915,0.13
2048,1000.0,2.678,765.994,52.18,0.19
4096,1000.0,3.405,1205.637,71.5,0.21
8192,1000.0,4.308,1906.147,121.27,0.285
16384,1000.0,6.038,2716.859,139.22,0.325
32768,1000.0,10.397,3152.144,82.77,0.275
65536,640.0,13.358,4907.444,113.29,0.31
131072,320.0,22.399,5852.455,146.445,0.55
262144,160.0,33.391,7850.736,46.91,0.2
524288,80.0,56.659,9258.727,307.475,1.9
1048576,40.0,99.262,10568.187,394.825,3.875
2097152,20.0,186.017,11275.971,285.45,4.82
4194304,10.0,355.416,11801.31,64.18,1.935
8388608,5.0,704.903,11906.907,485.84,30.4
16777216,2.0,1400.481,11989.96,592.355,74.37
33554432,1.0,2765.604,12132.869,55.61,12.695
67108864,1.0,5516.54,12165.097,40.78,18.525
134217728,1.0,11011.15,12189.299,35.065,31.63
268435456,1.0,22034.147,12182.78,54.065,97.63
