#bytes,repetitions,t,mbs
0,1000,21.34,0.00
1,1000,14.63,0.07
2,1000,23.46,0.09
4,1000,16.64,0.24
8,1000,10.48,0.76
16,1000,8.35,1.92
32,1000,20.83,1.54
64,1000,14.31,4.47
128,1000,22.65,5.65
256,1000,13.24,19.33
512,1000,9.81,52.20
1024,1000,8.35,122.67
2048,1000,13.78,148.64
4096,1000,20.18,202.97
8192,1000,89.75,91.28
16384,1000,68.82,238.06
32768,1000,99.42,329.58
65536,640,143.52,456.64
131072,320,173.41,755.84
262144,160,344.77,760.34
524288,80,532.01,985.48
1048576,40,947.73,1106.41
2097152,20,1262.75,1660.79
4194304,10,2771.88,1513.16
8388608,5,4621.99,1814.93
16777216,2,4947.24,3391.23
33554432,1,10176.49,3297.25
67108864,1,39317.68,1706.84
134217728,1,77839.29,1724.29
268435456,1,156770.85,1712.28
